"Part";"Value";"Device";"Package";"Description";"";
"+3V3_REG";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"C1";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C2";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C3";".01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C4";".01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C5";".01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C6";"100uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C7";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"ESP_EN";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"ESP_IO18";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"ESP_IO32";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"ESP_IO33";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"EXT_BTN";"JST-XH-02-PIN-ROUND-PAD";"JST-XH-02-PIN-ROUND-PAD";"JST-XH-02-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";
"GND0";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"GND1";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"GPIO";"JST-XH-12-PIN-ROUND-PAD";"JST-XH-12-PIN-ROUND-PAD";"JST-XH-12-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";
"J1";"R1171S331B-E2-FE";"R1171S421B-E2-FE";"REG_R1171S421B-E2-FE";"R1171x SERIES, 2.0A/1.5A LDO REUGULATOR Check prices";"";
"J2";"M50-3530342";"M50-3530342";"HDRV3W40P0X127_1X3_381X210X430";"Headers & Wire Housings 3 WAY SIL VERT PC TAIL P/HDR";"";
"J3";"KLDX-0202-A";"JACK-PLUG1";"SPC4078";"DC POWER JACK";"";
"JTAG";"JST-XH-05-PIN-ROUND-PAD";"JST-XH-05-PIN-ROUND-PAD";"JST-XH-05-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";
"LED1";"150060VS75000";"150060VS75000";"LEDC1608X80N";"LED,Wurth Elektronik,150060VS75000 Wurth Elektronik 150060VS75000, WL-SMCW Series Green LED, 570 nm, 1608 (0603) Clear, Rectangle Lens SMD Package";"";
"LED2";"150060RS55040";"150060VS75000";"LEDC1608X80N";"LED,Wurth Elektronik,150060VS75000 Wurth Elektronik 150060VS75000, WL-SMCW Series Green LED, 570 nm, 1608 (0603) Clear, Rectangle Lens SMD Package";"";
"LED3";"150060YS55040";"150060VS75000";"LEDC1608X80N";"LED,Wurth Elektronik,150060VS75000 Wurth Elektronik 150060VS75000, WL-SMCW Series Green LED, 570 nm, 1608 (0603) Clear, Rectangle Lens SMD Package";"";
"LED_STRIP";"JST-XH-03-PIN-ROUND-PAD";"JST-XH-03-PIN-ROUND-PAD";"JST-XH-03-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";
"POWER";"JST-XH-03-PIN-ROUND-PAD";"JST-XH-03-PIN-ROUND-PAD";"JST-XH-03-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";
"PWR";"TP";"2,54/0,8";"2,54/0,8";"THROUGH-HOLE PAD";"";
"R1";"12k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"12k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"12k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"330k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"330k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"330k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R9";"68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"S1";"LL3303F065QG";"LL3303F065QG";"LL3303F065QG";"Pushbutton Switches 50mA 12VDC F065 7.0mm Gull Wing";"";
"S2";"LL3303F065QG";"LL3303F065QG";"LL3303F065QG";"Pushbutton Switches 50mA 12VDC F065 7.0mm Gull Wing";"";
"U1";"ESP32-WROOM-32E_(16MB)NO_THERMAL";"ESP32-WROOM-32E_(16MB)NO_THERMAL";"MODULE_ESP32-WROOM-32E_(16MB)";"Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount  Check prices";"";
"UART";"JST-XH-05-PIN-ROUND-PAD";"JST-XH-05-PIN-ROUND-PAD";"JST-XH-05-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";
